,DATE,EXP,GPE,JOB,ORG,Resume_Name
0,January 2019 to P,"
Fareena Saqib; both Assistant Professors in the Electrical and Computer Engineering Department.
This project mainly involves data collection from Phasor Measurement Units, extraction into human readable
format, processing the data using machine learning techniques and thus designing a model to detect
anomalies in the same.
Extraction of raw data consisting of 2 million records each day using openHistorian2.0 tool.
Implementing distributed file systems like Hadoop to decrease data processing time on the data.",,Graduate Research Assistant,University of North Carolina,100010239.pdf
1,May 2018 to Aug 2018,"
• Developed a deep Siamese convolutional neural network for image recognition
of Philips products from customer images, testing with real-world images
• Gained experience with various stages of the ML project lifecycle, using data
processing tools including Selenium, Pandas, Keras, TensorFlow, AWS",,Machine Learning Intern,Philips Lighting,100010265.pdf
2,June 2017 to Aug 2017,"
• Built prototype of a reinforcement learning framework for optimizing allocation
of resources in DNS hosting service, using Python and TensorFlow
Graduate
Research",,Research Intern,AT&T Labs,100010265.pdf
3,Jan 2013 to p,"
variable screening methods for statistical inference in high-dimensional linear
models, demonstrating application in NLP and genomic data analysis
• Derived new sample complexity bounds for learning multi-modal (tensor)
regression models using projected gradient descent
• (MS thesis) Formulated bottom-up clustering approaches to manifold learning
Graduate",,Graduate Assistant,Rutgers University,100010265.pdf
4,September 2014 - P,"
Project: IntroPro is a privately held company that specializes on complete life cycle of embedded software
development and enterprise applications development/integration for satellite TV broadcasting and
telecommunication industries. • OS: Linux/Unix, Windows; • Tools: JIRA, TestLink, CVS, Getter,
Minicom, VirtualBox; • Manual testing: smoke testing, black box/functionality, installation testing,
performance testing, ux, regression, configuration/compatibility; • Testing new features and support of
existing Linux Embedded software for DirecTV Satellite and Cable TV Set Top Boxes; • Responsible for
full-cycle testing and other software product verification and validation activities; Installation testing of
different hardware; • New feature functionality testing; • Helping new-comers with understanding testing
processes and client-server architecture. #Achievements# Provided valuable feedback on product quality
so dev team was able to fix a number of critical issues. #onverted some manual tests in auto-tests (https://
github.com/kutsevol/intropro).",,QA Engineer,Intro Pro,10006283.pdf
5,June 2013 - August 2014,"
Charles, Fiddler, ADB, Air-server, Wireshark; • Manual testing: functional, smoke, usability, regression,
exploratory, ux; • Creating, verifying and executing test cases, checklists; • Creating bug reports in bug
tracking system (JIRA); • Helping new-comers with understanding testing processes and client-server
architecture. #Achievements# Provided valuable feedback on product quality so dev team was able to
fix a number of critical issues. Tune-up online service for over-the-air installation and testing of mobile
applications.",,Mobile QA Engineer,Playtika,10006283.pdf
6,2014 to 2018,"
- Designing workflow for real time labor hours tracking.
- Training employees on using new software system
- Input employee info into new database",,IT Intern/ Customer Service Intern,Webster Industries Inc,100102005.pdf
7,,,,,Autodesk Asia Pvt Ltd,100123442.pdf
8,,"
Machine learning and data science intern
Aug ’18 – Mar’19
Researched and implemented methods to evaluate similarity between 3D design parts using
deep learning models and custom similarity measures
Implemented a novel approach to evaluate transformability between 3D designs
Developed a web application to visualize interaction between designs and design parts as graphs
Visenze
Singapore
Data analyst intern
Feb ’18 – May’18
Developed and maintained Python scripts to crawl images for training image recognition models
Analyzed crawled images and updated training data collection strategy as required
Microsoft India Pvt. Ltd.",,,Microsoft India Pvt Ltd,100123442.pdf
9,,"
SQL Server and third-party products – custom applications, Telnet servers, etc.
Developed interactive web widgets using Angular JS, HTML and CSS",,Web API,Jun ’ – Dec’17,100123442.pdf
10,Feb 2008 – ,"
Product Information:
Founded in 1997, Saba (NASDAQ: SABA) is the premier global provider of
strategic Talent Management Solution software and services.
Saba people/Talent management solutions are used by more
than 4000+ customers and over 33 million end users
worldwide.
Saba solutions increase organizational performance by aligning
workforce goals with organizational strategy; developing, managing and
rewarding their people; and improving collaboration.
Saba product offerings address all aspects of strategic HCM which
includes various product lines such as Learning Management, Content",,"Sr Module Lead,",Saba Software Pvt Ltd,100147143.pdf
11,,"
Key Responsibilities:
Ensure design, build and implementation of work product; participate in
requirements elicitation, validation of architecture, creation and review
of design, assign and review tasks.
Perform High Level and low level design.
Conducting architecture review sessions, provide inputs through
framework analysis, and identify scope for design patterns usage to
create high level design specification.
Perform code quality reviews and Unit test plan reviews, conduct
independent system testing and sign off code for testing.
Handle customer escalations and provide solutions.
Mentoring 7 member’s team by giving technical guidance and helping
them in analysing their task.
Technologies and Tools :
Spring, Hibernate, Angular JS, REST, Bitbucket, Oracle 11g, GIT, Nginx.",,"Management, , Collaboration",Performance Management,100147143.pdf
12,Sep 2018,"
Developed client similarity algorithm in stock recommendation system (over 3 million clients) using
new features with k-means clustering, improved 30% in variety of stocks presented.
Implemented sentiment analysis (NLP) for financial news with SVM and Logistic Regression, to build
BLACK-SWAN event analysis toolkit on web platform using Python & Java.",,Software Engineer Intern,Jun,100173135.pdf
13,,,,,WIN WIND SECURITIES LTD,100173135.pdf
14,Jul 2015 - Sep 2016,"
implemented architecture and algorithm to manage user-defined trading strategies.
Developed standalone application to calculate over 40 indicators with customized query interface.
Monitored real-time trading strategies, implemented APIs to brokers for live order management.",,Software Engineer,,100173135.pdf
15,,,,Fellow,The Data Incubator,100222685.pdf
16,Feb 2019,"
• Scraped and explored the audio and transcripts from more than 2900 TED talks
• Developed a web application that compares user audio with that of TED presenters to
provide real-time feedback on how they can improve at public speaking
• Implemented NLP algorithms to analyze a user’s spoken presentation and wrote custom
interactive visualizations using D3.js to present this data in an understandable manner
Washington University",,,Washington University,100222685.pdf
17,Aug 2012 – Apr 2019,"
• Designed experiments and applied quantitative genomics, machine learning, and computer
vision to identify genes and neurons important for directing social behaviors in the fruit ﬂy
• Developed three Qt-based graphical user interfaces for the acquisition, tracking, and
analysis of animal behaviors, and utilized these programs to analyze 4TB+ of video data
• Applied signal processing techniques, including sliding window, FFT, and wavelet analysis,
on timeseries data to generate salient features for classification algorithms
• Trained and validated boosted decision trees and neural networks to classify animal
behaviors with >95% accuracy",,Graduate Student,,100222685.pdf
